ind,indv,age,sex,measure
1,1,12,2,21.5
1,1,14,2,23
1,1,10,2,20
1,1,8,2,21
2,2,8,2,21
2,2,10,2,21.5
2,2,14,2,25.5
2,2,12,2,24
3,3,8,2,20.5
3,3,12,2,24.5
3,3,14,2,26
4,4,8,2,23.5
4,4,14,2,26.5
4,4,10,2,24.5
4,4,12,2,25
5,5,12,2,22.5
5,5,14,2,23.5
5,5,8,2,21.5
5,5,10,2,23
6,6,12,2,21
6,6,14,2,22.5
6,6,8,2,20
7,7,8,2,21.5
7,7,12,2,23
7,7,10,2,22.5
7,7,14,2,25
8,8,12,2,23.5
8,8,14,2,24
8,8,8,2,23
8,8,10,2,23
9,9,12,2,22
9,9,8,2,20
9,9,14,2,21.5
10,10,14,2,19.5
10,10,12,2,19
10,10,8,2,16.5
11,11,14,2,28
11,11,12,2,28
11,11,8,2,24.5
11,11,10,2,25
12,1,10,1,25
12,1,8,1,26
12,1,12,1,29
12,1,14,1,31
13,2,14,1,26.5
13,2,12,1,23
13,2,8,1,21.5
14,3,8,1,23
14,3,10,1,22.5
14,3,14,1,27.5
14,3,12,1,24
15,4,12,1,26.5
15,4,14,1,27
15,4,8,1,25.5
15,4,10,1,27.5
16,5,14,1,26
16,5,12,1,22.5
16,5,8,1,20
17,6,10,1,25.5
17,6,14,1,28.5
17,6,8,1,24.5
17,6,12,1,27
18,7,8,1,22
18,7,12,1,24.5
18,7,10,1,22
18,7,14,1,26.5
19,8,10,1,21.5
19,8,12,1,24.5
19,8,14,1,25.5
19,8,8,1,24
20,9,14,1,26
20,9,12,1,31
20,9,8,1,23
20,9,10,1,20.5
21,10,10,1,28
21,10,14,1,31.5
21,10,12,1,31
21,10,8,1,27.5
22,11,10,1,23
22,11,12,1,23.5
22,11,8,1,23
22,11,14,1,25
23,12,8,1,21.5
23,12,12,1,24
23,12,14,1,28
24,13,14,1,29.5
24,13,12,1,26
24,13,8,1,17
25,14,14,1,26
25,14,10,1,25.5
25,14,8,1,22.5
25,14,12,1,25.5
26,15,8,1,23
26,15,12,1,26
26,15,14,1,30
26,15,10,1,24.5
27,16,12,1,23.5
27,16,8,1,22
27,16,14,1,25
